datamodel,section.name,splunk.app.name,request.ui_context,request.ui_edit_view,disabled,display.visualizations.custom.splunk_monitoring_console.heatmap.showtooltip,display.visualizations.custom.splunk_monitoring_console.heatmap.basecolor,display.visualizations.custom.splunk_monitoring_console.heatmap.showlegend,display.visualizations.custom.splunk_monitoring_console.heatmap.showxaxis,display.visualizations.custom.splunk_monitoring_console.heatmap.showyaxis,display.visualizations.custom.splunk_monitoring_console.heatmap.legendtitle,display.visualizations.custom.splunk_monitoring_console.heatmap.xaxis,display.visualizations.custom.splunk_monitoring_console.heatmap.yaxis,search,dispatch.earliest_time,dispatch.latest_time,displayview,enablesched,counttype,relation,quantity,cron_schedule,alert.digest_mode,alert.suppress,alert.track,action.email,action.email.message.alert,action.email.usenssubject,description,display.general.timerangepicker.show,display.general.type,display.page.search.tab,display.visualizations.show,action.correlationsearch,action.correlationsearch.enabled,action.correlationsearch.label,action.email.sendresults,action.notable.param.security_domain,action.notable.param.severity,action.notable.param.rule_title,action.notable.param.rule_description,action.notable.param.nes_fields,action.notable.param.drilldown_name,action.notable.param.drilldown_search,action.notable.param.default_owner,action.notable.param.default_status,action.risk,action.risk.param._risk_object,action.risk.param._risk_object_type,action.risk.param._risk_score,alert.suppress.fields,alert.suppress.period,is_visible,request.ui_dispatch_app,schedule_window,action.notable,action.summary_index._name,dispatch.rt_backfill,action.correlationsearch.related_searches,action.notable.param.drilldown_earliest_offset,action.notable.param.drilldown_latest_offset,action.email.reportserverenabled,action.keyindicator,action.keyindicator.title,action.keyindicator.subtitle,action.keyindicator.value,action.keyindicator.threshold,action.keyindicator.delta,action.keyindicator.invert,action.keyindicator.drilldown_uri,display.general.enablepreview,display.statistics.rownumbers,display.statistics.wrap,display.visualizations.charting.drilldown,display.visualizations.singlevalue.underlabel,display.visualizations.type,action.keyindicator.group.0.name,action.keyindicator.group.0.order,dispatchas,display.visualizations.charting.chart,display.visualizations.charting.chart.nullvaluemode,display.statistics.drilldown,action.swimlane,action.swimlane.title,action.swimlane.color,action.swimlane.constraint_method,action.swimlane.constraint_fields,action.swimlane.drilldown_search,display.page.asset_investigator.0.collection_name,display.page.asset_investigator.0.order,display.page.identity_investigator.0.collection_name,display.page.identity_investigator.0.order,action.summary_index,display.events.fields,display.events.list.wrap,display.events.rownumbers,display.events.type,action.escu,action.escu.enabled,action.escu.mappings,action.escu.eli5,action.escu.how_to_implement,action.escu.known_false_positives,action.escu.creation_date,action.escu.modification_date,action.escu.confidence,action.escu.full_search_name,action.escu.search_type,action.escu.asset_at_risk,action.escu.fields_required,action.escu.providing_technologies,action.escu.analytic_story,action.notable.param.recommended_actions,action.notable.param.next_steps,action.risk.param.verbose,action.escu.earliest_time_offset,action.escu.latest_time_offset,realtime_schedule,action.customsearchbuilder.spec,action.email.to,action.notable.param.extract_assets,action.notable.param.extract_identities,action.escu.data_models,action.email.include.results_link,action.email.include.view_link,action.escu.description,action.customsearchbuilder,action.customsearchbuilder.enabled,action.customsearchbuilder.routine,display.visualizations.chartheight,action.keyindicator.group.1.name,action.keyindicator.group.1.order,action.keyindicator.value_suffix,display.visualizations.charting.axistitley.text,display.visualizations.charting.chart.stackmode,display.visualizations.charting.legend.placement,action.threat_outputlookup,action.threat_outputlookup.collections,action.output_message,action.output_message.param.name,action.output_message.param.msgid,action.output_message.param.fields,action.output_message.param.purge,action.threat_activity,action.threat_activity._threat_match,action.logevent,action.logevent.param.event,action.logevent.param.index,action.logevent.param.source,action.logevent.param.sourcetype,request.ui_dispatch_view,auto_summarize,auto_summarize.dispatch.earliest_time,display.visualizations.custom.type,action.sendmn,alert.severity,action.makestreams.param.verbose,action.nbtstat.param.verbose,action.notable.param.verbose,action.nslookup.param.verbose,action.ping.param.verbose,action.send2uba.param.verbose,action.email.inline,action.email.subject.alert,run_on_startup,display.visualizations.charting.axisy2.enabled,display.visualizations.charting.chart.overlayfields,auto_summarize.cron_schedule,action.email.subject,action.threat_add.param.verbose,dispatch.ttl,action.outputtelemetry,action.outputtelemetry.param.anonymous,action.outputtelemetry.param.support,action.outputtelemetry.param.license,action.outputtelemetry.param.optinrequired,action.outputtelemetry.param.component,action.outputtelemetry.param.input,action.outputtelemetry.param.type,action.action_history,action.action_history.enabled,action.action_history.label,action.action_history.content_type,action.action_history.content,dispatch.indexedrealtime,schedule_priority,alert.expires,action.populate_lookup,action.populate_lookup.dest,run_n_times
['Splunk_Audit.Modular_Actions'],['Modular Actions - Distinct Users'],SplunkEnterpriseSecuritySuite-default,,,,,,,,,,,,"| tstats `summariesonly` dc(Modular_Actions.user) as current_count from datamodel=Splunk_Audit.Modular_Actions where nodename=""Modular_Actions.Modular_Action_Invocations"" earliest=-24h@h latest=+0s | appendcols [| tstats `summariesonly` dc(Modular_Actions.user) as historical_count from datamodel=Splunk_Audit.Modular_Actions where nodename=""Modular_Actions.Modular_Action_Invocations"" earliest=-48h@h latest=-24h@h] | `get_delta`",-48h@h,now,,,,,,,,,0,,,,,false,visualizations,,1,,,,,,,,,,,,,,,,,,,,,SplunkEnterpriseSecuritySuite,,,,,,,,0,1,Action Users,Distinct Count,current_count,,delta,false,search?q=%7C%20tstats%20%60summariesonly%60%20count%20as%20count%20from%20datamodel%3DSplunk_Audit.Modular_Actions%20where%20nodename%3D%22Modular_Actions.Modular_Action_Invocations%22%20earliest%3D-24h%40h%20latest%3D%2B0s%20by%20Modular_Actions.user,1,0,0,all,Distinct Users,singlevalue,modular_action_center,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['Splunk_Audit.Modular_Actions'],['Modular Actions - Distinct Searches'],SplunkEnterpriseSecuritySuite-default,,,,,,,,,,,,"| tstats `summariesonly` estdc(Modular_Actions.sid) as current_count from datamodel=Splunk_Audit.Modular_Actions where nodename=""Modular_Actions.Modular_Action_Invocations"" earliest=-24h@h latest=+0s | appendcols [| tstats `summariesonly` estdc(Modular_Actions.sid) as historical_count from datamodel=Splunk_Audit.Modular_Actions where nodename=""Modular_Actions.Modular_Action_Invocations"" earliest=-48h@h latest=-24h@h] | `get_delta`",-48h@h,now,,,,,,,,,0,,,,,false,visualizations,,1,,,,,,,,,,,,,,,,,,,,,SplunkEnterpriseSecuritySuite,,,,,,,,0,1,Action Searches,Distinct Count,current_count,,delta,false,search?q=%7C%20tstats%20%60summariesonly%60%20count%20as%20count%20from%20datamodel%3DSplunk_Audit.Modular_Actions%20where%20nodename%3D%22Modular_Actions.Modular_Action_Invocations%22%20earliest%3D-24h%40h%20latest%3D%2B0s%20by%20Modular_Actions.sid,1,0,0,all,Distinct Modular Action Searches,singlevalue,modular_action_center,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['Splunk_Audit.Modular_Actions'],['Modular Actions - Average Duration'],SplunkEnterpriseSecuritySuite-default,,,,,,,,,,,,"| tstats `summariesonly` avg(Modular_Actions.duration) as current_avg from datamodel=Splunk_Audit.Modular_Actions where earliest=-24h@h latest=+0s Modular_Actions.component=""main"" | appendcols [| tstats `summariesonly` avg(Modular_Actions.duration) as historical_avg from datamodel=Splunk_Audit.Modular_Actions where earliest=-48h@h latest=-24h@h Modular_Actions.component=""main""] | `get_delta(current_avg,historical_avg)`",-48h@h,now,,,,,,,,,0,,,,,false,visualizations,,1,,,,,,,,,,,,,,,,,,,,,SplunkEnterpriseSecuritySuite,,,,,,,,0,1,Action Duration,Average (ms),current_avg,,delta,false,search?earliest=-24h%40h&latest=now&q=%7C%20from%20datamodel%3A%22Splunk_Audit%22.%22Modular_Actions%22,1,0,0,all,Average Modular Action Duration (ms),singlevalue,modular_action_center,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],['Audit - ES System Requirements'],SplunkEnterpriseSecuritySuite-default,,,,,,,,,,,,"| rest splunk_server=* count=0 /services/server/info | eval numberOfVirtualCores=if(isnum(numberOfVirtualCores) AND numberOfVirtualCores>0,numberOfVirtualCores,null()) | where ((server_roles=""search_head"" AND (max(numberOfCores,numberOfVirtualCores)<16 OR physicalMemoryMB<32000)) OR (server_roles=""indexer"" AND (max(numberOfCores,numberOfVirtualCores)<16 OR physicalMemoryMB<32000))) | fields + splunk_server,server_roles,numberOfCores,numberOfVirtualCores,physicalMemoryMB",0,+0s,,1,number of events,greater than,0,15 3 * * *,true,,0,,,,,false,statistics,,0,,,,,,,,,,,,,,,,,,,,,,auto,,,,,,,0,,,,,,,,,1,0,0,,,,,,,,,row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,HEALTH_CHECK:ES_SYSTEM_REQUIREMENTS,healthcheck_es_system_requirements,splunk_server,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],['Audit - Investigation Collection ACLs'],SplunkEnterpriseSecuritySuite-default,,,,,,,,,,,,"| rest splunk_server=local count=0 /servicesNS/nobody/search/storage/collections/config | rename title as collection,""eai:acl.perms.read"" as read_perms,""eai:acl.perms.write"" as write_perms | where 'collection' in (""investigative_canvas"", ""investigative_canvas_entries"", ""files"", ""investigation"", ""investigation_event"", ""investigation_attachment"") AND ('read_perms' in (""*"", ""ess_user"", ""ess_analyst"", ""pci_user"", ""pci_analyst"") OR 'write_perms' in (""*"", ""ess_user"", ""ess_analyst"", ""pci_user"", ""pci_analyst"")) | table collection,read_perms,write_perms",0,+0s,,1,number of events,greater than,0,15 3 * * *,true,,0,,,,,false,statistics,,0,,,,,,,,,,,,,,,,,,,,,,auto,,,,,,,0,,,,,,,,,1,0,0,,,,,,,,,row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,HEALTH_CHECK:INVESTIGATION_COLLECTION_ACLS,healthcheck_investigation_collection_acls,collection,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['Splunk_Audit.View_Activity'],['Audit - ES View Activity Over Time'],SplunkEnterpriseSecuritySuite-default,,,,,,,,,,,,"| `tstats` count from datamodel=Splunk_Audit.View_Activity where `es_context_only(""View_Activity"")` by _time,View_Activity.view span=1h | timechart span=1h useother=`useother` count by View_Activity.view | `drop_dm_object_name(""View_Activity"")`",-7d@d,now,,,,,,,,,0,,,,,,visualizations,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,0,0,all,,charting,,,user,line,zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],['Audit - Expected ES View Activity'],SplunkEnterpriseSecuritySuite-default,,,,,,,,,,,,"| `expected_view_tracker(""-7d"")` | eval view=app.""|"".view | bin _time span=1d | `ctime(_time,""%m-%d-%Y"")` | chart sum(count) as count over view by _time | rex field=view ""(?<app>[^|]+)|(?<view>.*)"" | fields app,view,*",-7d@d,now,,,,,,,,,0,,,,,false,statistics,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,0,0,,,,,,,,,row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],['Notable - Events By Urgency'],SplunkEnterpriseSecuritySuite-default,,,,,,,,,,,,| `es_notable_events` | search timeDiff_type=current | stats sum(count) as count by urgency,-24h@h,now,,,,,,,,,0,,,,,false,visualizations,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,0,0,all,,,,,,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],['Notable - Events Over Time'],SplunkEnterpriseSecuritySuite-default,,,,,,,,,,,,| `es_notable_events` | search timeDiff_type=current | timechart minspan=30m sum(count) as count,-24h@h,now,,,,,,,,,0,,,,,false,visualizations,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,0,0,all,,charting,,,user,line,zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],['Notable - Events Over Time By Security Domain'],SplunkEnterpriseSecuritySuite-default,,,,,,,,,,,,| `es_notable_events` | search timeDiff_type=current | timechart minspan=30m sum(count) as count by security_domain,-24h@h,now,,,,,,,,,0,,,,,false,visualizations,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,0,0,all,,charting,,,user,line,zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
